account,ownedStake
onewolfe,"714,3069"
beeber,"675,3266"
alente,"653,1544"
cryptohaytham,"649,2607"
tokutaro22,"636,679"
thoth442,"621,3867"
dailygiveaways,"617,3773"
jfang003,"617,0445"
sharkthelion,"616,213"
dkid14,"610,1791"
supriya.gupta1,"564,554"
imno,"563,7894"
mirroredspork,"560,6562"
cooperclub,"552,125"
agog,"546,1564"
marshmellowman,"543,594"
yhuddee111,"535,41"
k-banti,"534,144"
theroad2freedom,"522,5231"
oasiskp2,"518,752"
germangenius,"514,548"
chmoen,"508,3205"
meanbees,"504,2019"
flemingfarm,"500,5"
gondek,"499,4546"
invest4free,"492,0883"
cryptounicorn420,"490,4173"
oscarps,"476,0602"
amberkashif,"472,23"
generra-abraham,"461,178"
torrey.blog,"458,253"
amphlux,"457,493"
successchar,"457,441"
cookaiss,"453,2524"
reeta0119,"448,7782"
bonnie30,"446,317"
saachi.list,"440,427"
jmis101,"433,1072"
blue.rabbit,"426,0991"
memess,"423,409"
nkemakonam89,"419,597"
valerianis,"415,1374"
twicejoy,"410,5923"
master-lamps,"405,9061"
l337m45732,"405,2084"
lebah,"396,3417"
ericburgoyne,"393,9715"
nuthman,"383,569"
psimpson67,"381,002"
vaynard86,"369,6561"
leemah1,"363,226"
temmylade,"357,3638"
hivecoffee,"350,823"
gadrian,"348,2109"
sandraa1,"342,8184"
uyobong,"340,6"
ekushya.ctp,"339,658"
aslehansen,"332,2"
denmarkguy,"325,1561"
metzli,"322,7096"
makerhacks,"319,841"
robert0z,"314,8057"
sergey44,"314,6012"
elbrava,"299,972"
nathanmars,"297,191"
scottrohn,"293,314"
bigtakosensei,"292,545"
starstrings01,"292,145"
tomlee,"291,645"
mamasez,"291,545"
bonnierroberts,"291,545"
matthew1,"286,42"
dirkzett,"286,2492"
iamjabez,"282,8598"
gidien,"278,148"
martusamak,"277,1154"
honeysaver.fund,"276,9085"
arpuch,"276,5563"
magicbeans,"275,7013"
juanmiguelsalas,"275,622"
castri-ja,"273,6444"
cryptospa,"268,334"
nahueldare3627,"265,6249"
duke77,"261,661"
definethedollar,"260,5905"
fiberfrau,"260,1698"
k5905200786,"260,1639"
felixgarciap,"259,7176"
visualblock,"259,6241"
syllem,"250,8346"
rosmadirazali,"241,648"
zealous4ever,"239,5047"
zottone444,"238,8252"
lifeskills-tv,"235,1114"
adeife2,"234,3442"
forsakensushi,"225,5949"
jishan5,"223,099"
bructp,"212,6009"
biglove,"207,476"
yintercept,"207,1907"
dadspardan,"203,387"
heruvim1978,"203,0278"
actifraenk,"201,1431"
mushanov,"200,3"
solymi,"199,875"
sanelica81,"196,929"
leoneil,"195,0758"
penderis,"194,3565"
cryptonotes,"190,5547"
brofi,"189,247"
marinmex,"187,0826"
saboin,"183,825"
monica-ene,"182,2243"
soulsdetour,"180,0311"
azkabananas,"179,3651"
dimascastillo90,"178,2"
farmboy-boss,"177,2039"
buezor,"176,42"
nerdylens,"175,013"
salexa5,"174,472"
ctpsb,"170,161"
magic.alive,"166,843"
andrewn,"165,772"
monsterjamgold,"164,9269"
xyzashu,"162,917"
mybiel,"161,306"
pizzabot,"160,729"
kokyi,"158,263"
blainjones,"157,609"
cmmndrbawang,"157,2706"
keechadkikali,"156,2484"
jerichternida,"154,681"
peter-stone,"151,821"
maverickinvictus,"151,68"
kojiri,"151,4865"
taskmaster4450,"151,172"
shadowspub,"151,1277"
ayhamyou,"150,934"
roger5120,"150,772"
jangle,"149,172"
jonsnow1983,"148,372"
qurator,"147,872"
ghcamry,"147,672"
drlobes,"147,6128"
obrisgold1,"147,172"
rem-steem,"146,793"
lebey1,"146,672"
cryptoandcoffee,"146,576"
rmsadkri,"146,472"
ackza,"146,372"
eliydrakes,"146,372"
niallon11,"146,372"
sandymeyer,"146,172"
kennyroy,"146,1274"
isabelpena,"146,072"
erikklok,"146,072"
sgbonus,"146,072"
cruis,"146,072"
jersteemit,"146,072"
zellypearl,"145,972"
mllg,"145,972"
dmilliz,"145,972"
mariannewest,"145,972"
theycallmedan,"145,972"
faisalamin,"145,8977"
rafaeleff15,"145,872"
crypto-dz,"145,872"
ridoykhan22,"145,872"
bvijay,"145,872"
crystalwills,"145,872"
fabian98,"145,872"
bimpcy,"145,872"
paulag,"145,872"
singhsweety189,"145,872"
david.dicotomia,"145,872"
marvyinnovation,"145,872"
