account,ownedStake
hiveborgminer,"222,1947"
tekraze,"215,7444"
franking1,"213,4714"
relf87,"213,4"
bructp,"212,6009"
ssebasv,"208,2403"
dadspardan,"204,687"
penderis,"203,7571"
peter-stone,"203,1587"
solymi,"202,375"
mushanov,"200,3"
marinmex,"200,1729"
leontr,"200,0"
cryptonotes,"199,0"
visualblock,"197,3639"
sanelica81,"196,929"
leoneil,"195,6758"
brofi,"189,247"
saboin,"183,825"
wanderingmoon,"182,7817"
mybiel,"179,7781"
ovey10,"179,37"
dbooster,"175,7666"
nerdylens,"175,013"
elkingplayer,"174,4773"
salexa5,"174,472"
truth2,"174,1687"
littlenewthings,"173,0"
weldmaster,"172,8357"
elikast,"172,653"
bitandi,"171,4187"
plantpoweronhive,"171,385"
esecholo,"170,8621"
magic.alive,"166,843"
freedomprepper,"165,8444"
andrewn,"165,772"
infinitytcg,"163,4776"
xyzashu,"162,917"
jane1289,"162,7768"
win.hive,"162,022"
pizzabot,"161,129"
kokyi,"158,263"
andy4475,"157,8263"
blainjones,"157,609"
scoutroc,"157,1802"
itharagaian,"155,7538"
shadowspub,"155,526"
jerichternida,"154,681"
taskmaster4450,"153,872"
freed99,"153,6535"
gr33nm4ster,"152,4488"
roger5120,"151,772"
maverickinvictus,"151,68"
ayhamyou,"151,5324"
erikklok,"151,1841"
mariannewest,"149,672"
brianoflondon,"149,5886"
jangle,"149,172"
rmsadkri,"148,772"
qurator,"148,572"
kennyroy,"148,5527"
jonsnow1983,"148,472"
drlobes,"147,6128"
cryptoandcoffee,"147,476"
rem-steem,"147,393"
lebey1,"147,372"
dmilliz,"147,272"
obrisgold1,"147,272"
cruis,"147,272"
amaari,"147,2196"
fermionico,"147,0855"
sandymeyer,"146,872"
fabian98,"146,472"
theycallmedan,"146,472"
eliydrakes,"146,372"
slackerman,"146,372"
zellypearl,"146,372"
gungunkrishu,"146,272"
irvinc,"146,172"
sgbonus,"146,172"
missagora,"146,072"
mllg,"146,072"
razack-pulo,"145,972"
newageinv,"145,972"
bimpcy,"145,972"
orionvk,"145,9551"
faisalamin,"145,8977"
steemincome,"145,872"
bulldog-joy,"145,872"
linco,"145,872"
crypto-dz,"145,872"
ange.nkuru,"145,872"
paulag,"145,872"
marleyn,"145,872"
elizacheng,"145,872"
marvyinnovation,"145,872"
ladygospel,"145,872"
