account,ownedStake
blue.rabbit,"132,488"
arpuch,"124,9526"
bilpcoinbot,"123,25"
scoutroc,"123,133"
ycgg,"119,48"
yuzana,"119,178"
remaerdotpyrc,"118,5445"
myanmarkoko,"118,5"
fnvdesigns,"114,3099"
athomewithcraig,"113,101"
jfuji,"106,9"
cmmndrbawang,"105,7105"
ganjafarmer,"104,955"
elkingplayer,"104,535"
wagyutrader,"103,632"
risingstarpool,"102,953"
pompeylad,"101,436"
jeevesyboy,"101,227"
bambukah,"101,225"
ewkaw,"101,173"
tjnew14,"100,53"
uggya,"100,3424"
wiljman76,"100,3"
doctorfate,"100,184"
mdrasel442,"96,155"
indiebandguru,"94,606"
poshtoken,"93,716"
steem82868,"87,7233"
pinkfloyd878,"83,325"
realsort,"81,08"
iamjabez,"77,5892"
tosolini,"75,1"
candnpg,"74,377"
my1440,"72,109"
trentonlundy1,"69,474"
pagane,"66,136"
thehive,"65,508"
nahueldare3627,"65,2174"
marvinix,"64,226"
littlebee4,"64,1509"
anderssinho,"61,522"
emaxisonline,"59,915"
markhodge,"59,226"
ijat,"58,915"
terapallo,"58,457"
akumagai,"57,908"
plint,"56,202"
sandraa1,"55,802"
hive-199275,"55,486"
hariton,"53,6"
sinistry,"53,159"
hiveboost,"53,109"
thranax,"53,013"
braaiboy,"52,9261"
nastyforce,"52,0"
kcgm,"51,688"
dragokazo,"51,199"
ayesha-malik,"50,938"
bilpcoinbpc,"50,814"
alinalazareva,"50,7589"
mariya36,"50,1"
erhan92,"50,1"
pablodare,"49,3471"
birdbeaksd,"48,932"
bananofarmer,"48,583"
neoxian,"48,451"
xplosive,"48,13"
atomcollector,"47,846"
barski,"46,445"
petertag,"45,668"
actifraenk,"45,0851"
tanjakolader,"44,724"
potta,"44,076"
itharagaian,"43,5994"
pregosauce,"43,507"
lv99-rd-chocobo,"42,7439"
mspbro,"41,545"
achim03,"41,1"
allonyx.ngs,"40,248"
lolz.devs,"39,7198"
thisismylife,"39,001"
kevinnag58,"37,537"
untzuntzuntz,"37,162"
shinyobjects,"36,725"
brutalmonkey,"35,715"
dstampede,"34,8897"
hucksbucks,"33,923"
hivebuzz,"31,7"
cuddlekitten,"31,626"
bilpcoin,"31,0"
leoneil,"30,837"
lolz.oneup,"30,048"
trashyomen,"28,771"
cliffagreen,"28,212"
lolzbot,"27,1431"
darkflame,"26,74"
assasinos3,"25,917"
krakonos,"25,1"
remaerd2ndacct,"23,873"
chaosmagic23,"23,223"
dmhafiz,"23,1"
dubble,"23,026"
quinnertronics,"22,553"
farhansadik2,"22,0"
otuyanancy,"22,0"
priyanarc,"21,6"
jsynnthagr8,"20,022"
fredfettmeister,"20,0"
ninjamike,"19,384"
williamtboy,"18,7"
projectmamabg,"18,27"
generikat,"18,0"
mehmetfix,"18,0"
dajokawild,"17,88"
sergey44,"17,7"
andyplays,"17,225"
antisocialist,"17,1793"
amakauz,"17,1"
stewie.wieno,"17,05"
mauriciolimax,"16,698"
amaillo,"16,546"
krevasilis,"16,268"
failingforwards,"16,217"
rzc24-nftbbg,"16,135"
choco11oreo11,"16,0"
supriya.gupta,"16,0"
superxsymbiote,"15,848"
bobthebuilder2,"15,443"
jmis101,"15,4"
littlenewthings,"15,3"
kevmcc,"15,2"
darmstrong,"15,1992"
lolztoken,"15,102"
phoenixwren,"15,065"
playbyhive,"14,922"
gratitudemine,"14,841"
papilloncharity,"14,734"
kehrwoche,"14,6747"
soyunasantacruz,"14,381"
memess,"13,976"
amaari,"13,857"
cpol,"13,74"
fragozar01,"13,7"
r1s2g3,"13,7"
adityajainxds,"13,1685"
rs405,"13,074"
tengolotodo,"13,015"
middle-earthling,"12,3226"
soulsdetour,"12,2"
itsostylish,"12,2"
libertysports27,"12,019"
beeminer,"11,959"
nietokilll,"11,918"
holoferncro,"11,9"
kaniz,"11,705"
vikingingergiant,"11,688"
tattoodjay,"11,676"
thaddeusprime,"11,6388"
demotry,"11,54"
arena10,"11,521"
freeads.club,"11,357"
metzli,"11,045"
gillianpearce,"10,98"
hhayweaver,"10,786"
ravenmus1c,"10,69"
steevc,"10,336"
amirtheawesome1,"10,3"
robwillmann,"10,3"
mineopoly,"10,216"
jaopalas,"10,2"
infinitytcg,"10,2"
bombus,"10,057"
myrv,"10,0"
agreste,"9,9817"
jongolson,"9,9"
da-prince,"9,894"
methodofmad,"9,89"
dreemsteem,"9,8"
cryptokim03,"9,715"
dlmmqb,"9,376"
oneup-cartel,"9,372"
dunksocial,"9,1"
hollowknightgod,"9,048"
nobutsd1974,"8,925"
jane1289,"8,8581"
ecency,"8,8"
thequizshow,"8,519"
ahmadmangazap,"8,4"
josman831,"8,3"
woodathegsd,"8,149"
justice007,"8,1"
tampilyne,"7,893"
brando28,"7,8911"
henruc,"7,8033"
m3ss,"7,652"
bencwarmer,"7,4"
thinkrdotexe,"7,31"
oadissin,"7,225"
alex2alex,"7,2105"
ehizgabriel,"7,1"
gwajnberg,"7,055"
happyme,"7,0"
ziabutt3836,"6,8"
