account,ownedStake
felixxx,"14,5157976"
jovak,"14,3939"
castleberry,"14,35885915"
b33drohn3,"14,21253701"
holoferncro,"14,15134341"
sayee,"14,12234978"
rawnass,"14,01720071"
engine-stamm,"14,01615263"
eirik,"13,99947391"
attentionneeded,"13,98398399"
hiq.shares,"13,93040031"
elyelma,"13,91211652"
amirtheawesome1,"13,90880125"
norseland,"13,8518715"
vintherinvest,"13,84310202"
masterthematrix,"13,67299126"
asperger-kids,"13,61308952"
steemychicken1,"13,5928146"
pinkfloyd878,"13,5568945"
exilles,"13,55"
agreste,"13,5111805"
luizeba,"13,47221342"
aagabriel,"13,37361909"
yangyanje,"13,34665165"
captaindingus,"13,32794493"
kiel91,"13,21853946"
klausklaus,"13,2096299"
linn901,"13,18540859"
akinolawilly,"13,01777596"
blurrz,"13,0"
alexdiasivi,"12,98224471"
sketchygamerguy,"12,97431035"
vicegrip,"12,96261233"
topworlds,"12,92328353"
how-to-hive,"12,88080443"
ozelot47,"12,81152313"
jazzy07,"12,79552247"
cryptopsycho21,"12,7830696"
bhattg,"12,71670726"
gadrian,"12,67454181"
mariuszkarowski,"12,61195423"
nicolcron,"12,59343683"
hive-id,"12,5611197"
rabona,"12,51641733"
suagm,"12,44466537"
natalia-irish,"12,43248589"
nane,"12,43080442"
florenceboens,"12,42818414"
kenny-crane,"12,35463763"
octavian1,"12,34945912"
chrono.spt,"12,34704375"
brofi,"12,34207189"
farpetrad,"12,32967242"
thecuriousfool,"12,31276947"
aliveprojects,"12,24508675"
aimee.tariq,"12,13023185"
catotune,"12,03189629"
almightygrim,"12,0185033"
las3rbone,"11,97409486"
darth-azrael,"11,94706136"
gsauce1989,"11,89800803"
rcaine,"11,86278009"
sepone,"11,72731029"
yablonsky,"11,69628571"
kolokee,"11,684523"
neoxiancity,"11,6832425"
aadi-parin,"11,65658514"
proto26,"11,64036783"
numpypython,"11,57842826"
serhotest,"11,5489391"
egistar,"11,53663369"
desertjoe,"11,5346269"
huckleberrie,"11,5137554"
a1-shroom-spores,"11,4984882"
kaptnkalle,"11,49702406"
dylanhobalart,"11,45349562"
idigjapanesechix,"11,33432968"
aino.tapani,"11,30666456"
dauerbrenner05,"11,30026312"
nathanmars,"11,28387589"
krakonos,"11,24838522"
hhayweaver,"11,20185747"
femcy-willcy,"11,16436312"
outlinez,"11,16385988"
hiq,"11,07984259"
javivisan,"11,07671834"
lifeskills-tv,"11,04471471"
corella,"11,0332718"
zirky,"11,02693848"
elianaicgomes,"11,00852473"
deveter,"11,00384082"
cabqueen,"11,0"
jpleron,"10,99052361"
haradeas,"10,95702828"
branbello,"10,92067648"
narnary,"10,81324012"
masoom,"10,75702883"
oldmans,"10,75301639"
rondonshneezy,"10,69116018"
sinaida,"10,5972845"
shaddrak,"10,55692436"
btcsam,"10,53840365"
fujifluz42,"10,52435811"
bhelatnasudepan,"10,52379836"
james30,"10,51193991"
miljo76,"10,51029196"
chaosmagic23,"10,4464399"
adam-lucas,"10,44481994"
isnochys,"10,39671904"
stiant,"10,36830832"
captainloken,"10,32604479"
ivarbjorn,"10,23268743"
rokhani,"10,23005971"
ana-maria,"10,1882664"
failed.summoner,"10,1805349"
ash,"10,16058881"
drax.leo,"10,07882875"
hamsterpoweriii,"10,04857443"
smallboost,"10,03969671"
bilpcoinbpc,"10,03179358"
quduus1,"10,00362642"
jazzy09,"10,00128358"
jfuji,"9,96421779"
riandeuk,"9,93087017"
darrenfj,"9,90813941"
ukyron3,"9,85175981"
lapacodo,"9,81244817"
kephler,"9,78207884"
ggbouncy,"9,76006818"
fireguardian,"9,45287964"
melinda010100,"9,41619313"
anhnghn,"9,3894047"
danideuder,"9,38448903"
friendlymoose,"9,29200761"
rezoanulvibes,"9,25704312"
hiq.magazine,"9,23442755"
famoushade1,"9,23157426"
oliverschmid,"9,12531574"
arcange,"9,10737599"
burn950,"9,06188355"
dais12,"9,0"
taxguy,"8,95434662"
shrazi,"8,90152122"
damus-nostra,"8,8952504"
hpccurator,"8,8491566"
emeka4,"8,80065987"
oneup-curator,"8,78334634"
behiver,"8,7649154"
squirrelacus,"8,7174088"
strongstreams,"8,70410786"
olympicdragon,"8,68476516"
evegrace,"8,67087822"
punkndrublic,"8,51028798"
joshman,"8,46538625"
digital.bank,"8,40185087"
nata86,"8,39391967"
itzninjafool,"8,37326835"
sandraa1,"8,34109297"
drabs587,"8,31950365"
kehrwoche,"8,31404526"
bitpizza,"8,31276172"
kemmyb,"8,31031981"
drax,"8,29729665"
rzc24-nftbbg,"8,27232087"
splinter100dedos,"8,24456734"
mima2606,"8,22758429"
fnvdesigns,"8,20469873"
shubhwaj,"8,19362628"
peerfinance,"8,14837957"
kiokizz,"8,13637581"
bilpcoinbot,"8,08167567"
loshombresdepaco,"8,0"
gestion.alive,"7,98896376"
legalizabrazil,"7,96550091"
snlbaskurt,"7,96468687"
toekins,"7,90525369"
bc-i,"7,90230295"
fiberfrau,"7,88170061"
mahmud552,"7,85446431"
pundito,"7,77272399"
aarin-adebiyi,"7,74093453"
cicisaja,"7,73948632"
vyb.vyb,"7,71949302"
finguru,"7,71090754"
degagneiv,"7,70253359"
stvy,"7,69195401"
revise.leo,"7,6876952"
buffalobison,"7,67641374"
hive-100750,"7,64548803"
makerpra,"7,64048063"
mintymile,"7,62062859"
tokenpimp,"7,57978208"
damsel001,"7,57910023"
felt.buzz,"7,57853643"
aweee,"7,51177606"
ronthroop,"7,4960967"
vaynard86,"7,42449506"
revisesociology,"7,40915216"
handtalk5,"7,39933361"
hundredtonmantis,"7,37536157"
jeenger,"7,32551974"
spk.beneficiary,"7,27416072"
mchero,"7,23745604"
gidien,"7,22228231"
forexbrokr,"7,21980701"
torrey.blog,"7,19950002"
harlowjourney,"7,13496618"
creativehive,"7,1256698"
