account,ownedStake
relf87,"61,02727812"
proctologic,"60,9"
edongdong,"60,4705579"
darmst,"59,56169998"
trashyomen,"56,05034495"
rob23,"55,58980904"
holoferncro,"55,34976658"
ctpsb,"55,3497383"
edgerik,"54,92675848"
offgridlife,"54,4398402"
rentmoney,"53,93506101"
tribaldex,"53,88123552"
yintercept,"53,32045938"
backinblackdevil,"53,28852273"
sourovafrin,"52,12332179"
muelli,"51,78088251"
reiseamateur,"51,56147726"
iamjabez,"50,28702664"
mrmarkets,"50,13336882"
benthomaswwd,"50,12223601"
ana-maria,"50,07999925"
dlmmqb,"49,98687912"
dragon-ti,"49,57318381"
siphon,"49,28172402"
kirstin,"49,15834765"
dagger212,"49,05617185"
operahoser,"47,7430922"
guruvaj,"47,43023094"
thepen,"47,4"
l337m45732,"46,8526772"
hive-112281,"46,66453436"
hiq.shares,"46,5993272"
zartisht,"46,35872101"
saachi,"46,16090724"
efastromberg94,"46,15286369"
barmbo,"45,69346912"
b0s,"45,47783141"
maddogmike,"45,14993586"
mackeymat,"44,0"
walk-the-grid,"43,80420191"
pinkhub,"43,58166386"
legalizabrazil,"43,23130717"
almightygrim,"43,16881026"
raizac,"42,98391329"
lipe100dedos,"42,57547877"
twaltar,"41,78587738"
berthold,"41,75069202"
sevenoh-fiveoh,"41,62711463"
onewolfe,"40,82047068"
zelegations,"40,73735528"
femcy-willcy,"40,51333435"
wolfofnostreet,"40,3992148"
enforcer48,"40,21819026"
biglove,"40,21326244"
drunksamurai,"40,08449673"
oudekrijger,"40,00158648"
alzee,"39,8945383"
suzy5,"39,30234314"
hive-world,"39,29998943"
mvl2304,"38,99587518"
uybee,"38,94646727"
heartbeatonhive,"38,62024311"
reward.app,"38,39082781"
kiel91,"38,14625907"
bityobit,"38,12574518"
verbalshadow,"37,95132616"
hive-143869,"37,85212676"
mistural,"37,83770359"
playbyhive,"37,79795121"
francis.melville,"37,71712067"
javivisan,"37,66800263"
he-witness,"37,61412522"
itharagaian,"37,55772923"
sagesigma,"37,46101765"
bradleyarrow,"37,12132423"
jakkal,"36,61744581"
danideuder,"36,54765535"
w74,"36,49517917"
leemah1,"36,33942547"
telokanda,"35,96"
flokiinu,"35,91759278"
readthisplease,"35,78081743"
spirits4you,"35,57397168"
xawi,"35,50604762"
archonapp,"35,38043168"
rayshiuimages,"35,05195195"
shrazi,"35,0265469"
holzhackerbuam,"34,98855654"
hivegifbot,"34,81274163"
gadrian,"34,77981005"
felander,"34,4719588"
hivetrending,"34,39471939"
gwajnberg,"34,36898879"
india-witness,"34,13714931"
funnel,"33,95826757"
enthef,"33,83077698"
driptorchpress,"33,70662956"
cryptounicorn420,"33,58819557"
bobthebuilder2,"33,41698469"
mimismartypants,"33,32157297"
new.things,"33,00757283"
chorock,"32,70484207"
dbooster,"32,37677306"
newtrailers,"32,30145628"
failingforwards,"32,28978285"
crazy.old.lady,"32,0"
curatorcat.pal,"31,9059453"
tpkidkai,"31,76552481"
bananofarmer,"31,51371913"
umuk,"31,42679259"
der-prophet,"31,27140454"
alex2alex,"31,10287317"
thehive,"31,00804511"
ryan600,"31,0"
actifit.pay,"30,99794105"
pixiepost,"30,98854496"
desertjoe,"30,7743134"
levi-miron,"30,52395638"
goingcrossroads,"30,48326118"
samsmith1971,"30,39654291"
dibblers.dabs,"30,29492353"
bokica80,"30,26776239"
discovereurovelo,"30,05064338"
fronttowardenemy,"29,79116037"
brofund,"29,70509064"
beeber,"29,61810243"
quduus1,"29,21178797"
karizma,"28,87725983"
ukyron3,"28,75708954"
farpetrad,"28,64073895"
cryptoandcoffee,"28,64008034"
dcitygame,"28,44130301"
hatoto,"28,29156804"
phantomphreak,"27,93601352"
alhmeel,"27,77933559"
xxxedxxx,"27,66786841"
ferrate,"27,63168942"
manncpt,"27,59334383"
peakd,"27,12499882"
thebeardflex,"27,08289685"
bencar26,"27,0"
dmilliz,"26,89768141"
wochenblick,"26,85495742"
ddn688,"26,53722855"
bechibenner,"26,47330091"
cpol,"26,40942473"
splinter100dedos,"26,37542297"
patronpass,"26,24459065"
davdiprossimo,"26,18709689"
fallen.angels,"25,95109757"
bubblegif,"25,91917345"
be-alysha,"25,90487404"
papapanda3,"25,81366808"
zottone444,"25,78442215"
proofofbrainio,"25,7769213"
linlove,"25,63362182"
atexoras,"25,52504035"
lordneroo,"25,51419145"
jeffjagoe,"25,34720094"
jongolson,"25,12429258"
dadspardan,"25,0593616"
ragnarokdel,"25,00338013"
monica-ene,"24,98880016"
ecoinstats,"24,94605803"
misterc,"24,87154679"
nane-qts,"24,77235489"
seckorama,"24,5223522"
florenceboens,"24,46406343"
newigennity,"24,43700653"
hiveland.dapp,"24,38530831"
ahmetay,"24,36120784"
cantfoldaces,"24,30234679"
allcapsonezero,"24,16679145"
rondonshneezy,"24,16486418"
bloodynecronight,"24,05110332"
hive.fund,"24,02291257"
chuiiiiiiii,"23,96033027"
olebulls,"23,89878225"
mengao,"23,7348998"
igel2017,"23,6380034"
johannpiber,"23,55793909"
manniman,"23,53997977"
ravenmus1c,"23,53574302"
sketchygamerguy,"23,44101904"
ggbouncy,"23,23541834"
jacobpeacock,"23,22909921"
engine-stamm,"23,19937812"
emeka4,"23,18742212"
andy.zaphod,"23,14554981"
lmac,"23,06593201"
x9ed1732b,"22,98792321"
blervin,"22,64092706"
crazyphantombr,"22,61576946"
elianaicgomes,"22,51144971"
cryptoking3,"22,47671017"
magwa,"22,39752836"
famoushade1,"22,27082401"
dcityrewards,"22,23259237"
schlooster,"22,04366177"
vikingingergiant,"21,8396896"
photosnap,"21,77109622"
zwhammer,"21,47875679"
underlock,"21,32248517"
strongstreams,"21,23660876"
belemo,"20,88206162"
palteron,"20,66587707"
dirkzett,"20,6159964"
cornavirus,"20,39979288"
jfuji,"20,36229437"
kakarot420,"20,32435153"
charazy420,"20,28382992"
bilpcoinbpc,"20,28365464"
scottshots,"20,26759756"
archives-upfunds,"20,22244768"
powerpaul,"20,12544028"
captaindingus,"20,05422702"
aweee,"20,04100662"
lookplz,"20,00200808"
ledinis,"19,97073971"
witnessthesizzle,"19,94861421"
thecryptopimp,"19,58248311"
louis88,"19,55066056"
mytechtrail,"19,45864894"
raymondspeaks,"19,43134337"
vvgm,"19,04052589"
cr4zych1ck3nb0y,"19,0"
kwskicky,"18,94889301"
r0nny,"18,9071802"
crrdlx,"18,55722949"
unlikelysurvivor,"18,45068587"
uyobong,"18,35937473"
blrog,"18,27179417"
jfang003,"18,22201701"
indextrader24,"18,19581318"
outlinez,"18,18602852"
miljo76,"18,08158981"
dragonslovetacos,"18,06337072"
taco-pizza,"18,03163671"
hive-id,"17,90606554"
ctplite,"17,90333426"
creativehive,"17,89837189"
agreste,"17,7690328"
maurojd,"17,76232685"
splinternews,"17,61460987"
yeckingo1,"17,57490107"
vaynard86,"17,54806262"
