account,ownedStake
cursephantom,"1455,3238"
herculeand,"1447,3263"
mario89,"1440,2548"
cryptopsycho21,"1439,8054"
palomap3,"1426,9822"
samsmith1971,"1419,898"
assassyn,"1357,0442"
kryptofire,"1352,7795"
stevermac1966,"1351,5775"
ekushya,"1323,9035"
treefrognada,"1323,5671"
consciouscat,"1300,4385"
heruvim1978,"1284,7087"
rickardoh,"1251,013"
hhayweaver,"1248,8482"
sagarkothari88,"1245,6893"
hivetrending,"1226,389"
tokutaro22,"1219,132"
alovely088,"1218,9497"
old-man-chu58,"1216,5529"
clavdio75,"1202,8224"
dragon-ti,"1192,3144"
faunobrujo,"1179,9625"
johnandgrace,"1162,3008"
koussbar,"1141,23"
rarej,"1120,393"
tunnelmotions,"1118,2384"
esteva1820,"1117,9017"
celf.support,"1105,7578"
chuiiiiiiii,"1102,276"
fjworld,"1101,6"
beeber,"1094,2113"
dreamingirwin,"1090,646"
andy-plays,"1088,028"
allonyx.ngs,"1085,9553"
wandrnrose7,"1079,4693"
forykw,"1058,648"
castri-ja,"1057,5415"
badpupper,"1040,7209"
savvyplayer,"1026,3294"
russellstockley,"1026,008"
voltz-blag,"1023,0245"
howyf2,"1020,408"
onthemountain,"1019,9074"
pixiepost,"1017,247"
madushanka,"1011,5"
kojiri,"1008,4705"
slothbuzz,"1008,1412"
dk1trade,"1006,946"
iviaxpow3r,"1005,006"
ahmadmanga,"1002,6"
vokus,"1000,1181"
voltagrou,"1000,1"
imagenius.dac,"1000,0"
hivecats,"1000,0"
oscarps,"1000,0"
tagmout,"910,5977"
jfang003,"898,1115"
blue.rabbit,"894,2752"
slothlydoesit,"886,6981"
chocolatescorpi,"881,006"
yousafharoonkhan,"875,435"
luckyali,"875,035"
oredebby,"874,835"
aunik,"874,735"
captain-sam,"874,635"
steemer-sayu907,"874,635"
ennydee,"874,635"
cwow2,"866,3281"
elyelma,"855,1664"
hykss,"852,085"
eolianpariah2,"845,0909"
gondek,"830,1011"
memess,"785,8462"
duke77,"768,2139"
sabihaislam,"733,758"
keechadkikali,"729,7217"
jeanlucsr,"727,219"
onewolfe,"715,3692"
fantagira,"693,4938"
cryptounicorn420,"685,8452"
firealiean,"683,4198"
nkemakonam89,"680,2461"
fruityfruitz,"675,7308"
imno,"659,1237"
alente,"653,2544"
dkid14,"647,3216"
firealien,"636,8723"
iamjabez,"633,8688"
albator85,"617,5003"
dailygiveaways,"617,3773"
sharkthelion,"616,2677"
zealous4ever,"613,7793"
theroad2freedom,"601,8444"
successchar,"598,5494"
stewie.wieno,"597,2228"
osomar357,"590,3668"
marshmellowman,"574,5576"
poolweb,"567,6771"
amberkashif,"566,12"
